Model_name,Accuracy_score(%),F1(%),Number_of_rows
toyota_agya,57,46,13426
toyota_avanza,33,16,13426
toyota_aygo,50,50,13426
toyota_chr,85,86,13426
toyota_corolla,30,23,13426
toyota_corolla_cross,72,71,13426
toyota_corolla_quest,76,75,13426
toyota_etios,75,68,13426
toyota_fj_cruiser,75,85,13426
toyota_fortuner,71,68,13426
toyota_hiace,90,90,13426
toyota_hilux,67,66,13426
toyota_land_cruiser_200,75,75,13426
toyota_land_cruiser_300,80,80,13426
toyota_land_cruiser_76,50,50,13426
toyota_land_cruiser_79,67,61,13426
toyota_land_cruiser_prado,90,90,13426
toyota_quantum,61,61,13426
toyota_rav4,60,56,13426
toyota_rumion,77,75,13426
toyota_rush,66,53,13426
toyota_starlet,76,75,13426
toyota_starlet_cross,69,62,13426
toyota_urban_cruiser,74,72,13426
toyota_vitz,81,83,13426
toyota_yaris,70,70,13426
volkswagen_amarok,57,54,12326
volkswagen_caddy,61,61,12326
volkswagen_caravelle,66,70,12326
volkswagen_golf,73,71,12326
volkswagen_kombi,77,68,12326
volkswagen_polo,76,74,12326
volkswagen_polo_vivo,80,79,12326
volkswagen_taigo,76,73,12326
volkswagen_tayron,75,85,12326
volkswagen_tcross,78,75,12326
volkswagen_tiguan,68,67,12326
volkswagen_tiguan_allspace,72,71,12326
volkswagen_touareg,75,74,12326
volkswagen_transporter,62,62,12326
volkswagen_troc,76,72,12326
volkswagen_up,75,64,12326
volvo_xc40,60,56,455
volvo_xc60,75,73,455
volvo_xc90,100,100,455
